result_pop	chr	n	comp	class
hyper	chrI	1111	allsites	allsites
hyper	chrII	726	allsites	allsites
hyper	chrIII	702	allsites	allsites
hyper	chrIV	1096	allsites	allsites
hyper	chrIX	761	allsites	allsites
hyper	chrV	697	allsites	allsites
hyper	chrVI	602	allsites	allsites
hyper	chrVII	964	allsites	allsites
hyper	chrVIII	778	allsites	allsites
hyper	chrX	718	allsites	allsites
hyper	chrXI	725	allsites	allsites
hyper	chrXII	727	allsites	allsites
hyper	chrXIII	616	allsites	allsites
hyper	chrXIV	578	allsites	allsites
hyper	chrXV	650	allsites	allsites
hyper	chrXVI	670	allsites	allsites
hyper	chrXVII	814	allsites	allsites
hyper	chrXVIII	708	allsites	allsites
hyper	chrXX	743	allsites	allsites
hyper	chrXXI	671	allsites	allsites
hypo	chrI	6826	allsites	allsites
hypo	chrII	4291	allsites	allsites
hypo	chrIII	4053	allsites	allsites
hypo	chrIV	7044	allsites	allsites
hypo	chrIX	4141	allsites	allsites
hypo	chrV	4270	allsites	allsites
hypo	chrVI	4211	allsites	allsites
hypo	chrVII	6215	allsites	allsites
hypo	chrVIII	4296	allsites	allsites
hypo	chrX	3949	allsites	allsites
hypo	chrXI	4469	allsites	allsites
hypo	chrXII	4892	allsites	allsites
hypo	chrXIII	4017	allsites	allsites
hypo	chrXIV	3905	allsites	allsites
hypo	chrXV	4683	allsites	allsites
hypo	chrXVI	4386	allsites	allsites
hypo	chrXVII	4508	allsites	allsites
hypo	chrXVIII	3959	allsites	allsites
hypo	chrXX	4037	allsites	allsites
hypo	chrXXI	4018	allsites	allsites
non	chrI	7499	allsites	allsites
non	chrII	4728	allsites	allsites
non	chrIII	4476	allsites	allsites
non	chrIV	7664	allsites	allsites
non	chrIX	4615	allsites	allsites
non	chrV	4668	allsites	allsites
non	chrVI	4505	allsites	allsites
non	chrVII	6770	allsites	allsites
non	chrVIII	4781	allsites	allsites
non	chrX	4404	allsites	allsites
non	chrXI	4884	allsites	allsites
non	chrXII	5309	allsites	allsites
non	chrXIII	4358	allsites	allsites
non	chrXIV	4204	allsites	allsites
non	chrXV	4971	allsites	allsites
non	chrXVI	4754	allsites	allsites
non	chrXVII	5010	allsites	allsites
non	chrXVIII	4426	allsites	allsites
non	chrXX	4500	allsites	allsites
non	chrXXI	4361	allsites	allsites
hyper	chrI	504	cpgi	CpGI
hyper	chrII	339	cpgi	CpGI
hyper	chrIII	333	cpgi	CpGI
hyper	chrIV	490	cpgi	CpGI
hyper	chrIX	440	cpgi	CpGI
hyper	chrV	381	cpgi	CpGI
hyper	chrVI	248	cpgi	CpGI
hyper	chrVII	487	cpgi	CpGI
hyper	chrVIII	397	cpgi	CpGI
hyper	chrX	350	cpgi	CpGI
hyper	chrXI	394	cpgi	CpGI
hyper	chrXII	388	cpgi	CpGI
hyper	chrXIII	253	cpgi	CpGI
hyper	chrXIV	311	cpgi	CpGI
hyper	chrXV	328	cpgi	CpGI
hyper	chrXVI	310	cpgi	CpGI
hyper	chrXVII	410	cpgi	CpGI
hyper	chrXVIII	404	cpgi	CpGI
hyper	chrXX	394	cpgi	CpGI
hyper	chrXXI	315	cpgi	CpGI
hypo	chrI	3174	cpgi	CpGI
hypo	chrII	1796	cpgi	CpGI
hypo	chrIII	2001	cpgi	CpGI
hypo	chrIV	3187	cpgi	CpGI
hypo	chrIX	1919	cpgi	CpGI
